,date,morning,night,food0,food1,food2,food3,food4,food5,food6,food7,food8,food9,alcohol,vegetables,fruits,fats,starches
120,2016-04-24 00:00:00,195.0,196.0,Donuts,,,Steak Salad,Pork,,Popcorn,Arugula Spinach Orange Salad/Chips Salsa,,,1.0,2.5,1.0,3.0,3.0
121,2016-04-25 00:00:00,195.0,196.0,Apple/Orange,,,Veggies/Ranch/Chipotle Chicken Corn Chowder,,,,Arugula Spinach Apple Salad/Chips Salsa,Graham Cracker Peanut Butter,,1.0,3.5,3.0,1.25,1.625
122,2016-04-26 00:00:00,195.0,196.0,Apple/Orange,,,Broccoli/Green Beans/Salad/Spicy Teriyaki Chicken,,,,Salad/Chicken/Veggies/Potatoes,,Graham Cracker Peanut Butter,1.0,3.5,2.0,2.0,1.0
123,2016-04-27 00:00:00,195.0,196.0,Apple/Orange,,,Broccoli/Green Beans/Spicy Teriyaki Chicken,,,,Arugula Spinach Salad/Pork,Graham Cracker Peanut Butter/Chips Salsa,,0.0,3.0,2.5,2.0,1.0
124,2016-04-28 00:00:00,195.0,195.0,Apple/Orange,,,Veggies/Ranch/Pork,,,,Apple Chicken Spring Mix Salad,,Chips Salsa,1.0,3.5,3.0,1.5,1.0
125,2016-04-29 00:00:00,194.0,196.0,Apple/Orange,,,Veggies/Ranch/Half Chipotle Chicken Salad Wrap,,,,Half Chipotle Chicken Salad Wrap,Carrots,Chips Salsa/Graham Cracker Peanut Butter,0.0,4.5,2.5,1.875,2.375
126,2016-04-30 00:00:00,195.0,197.0,Apple/Orange,,,Roast Beef Cheddar Sandwich/Apple/Carrots,,,,Pork Bell Pepper Chips Salad,,Peppers/Chips Salsa,1.0,3.5,3.25,1.5,2.0
127,2016-05-01 00:00:00,193.0,198.0,Apple/Orange,Half Donut,,Peppers/Chips Salsa,,Veggies/Ranch,,Grilled Beef/Chicken/Peppers/Onions,Canteloupe,Orange/Peanut Butter,4.0,4.0,4.0,2.75,0.5
128,2016-05-02 00:00:00,194.0,194.0,Apple/Orange,,,Veggies/Hummus/Pork Bell Pepper,,,,Carne Asada Tacos,,,3.0,3.5,2.0,2.0,1.0
129,2016-05-03 00:00:00,193.0,194.0,Apple/Orange,,,Veggies/Hummus/Pork Bell Pepper,,,,Brisket Sandwich/Nachos/Salad/Bacon/Chips Salsa,,,3.0,3.0,3.0,2.0,2.0
130,2016-05-04 00:00:00,193.0,193.0,Apple/Orange,,,Veggies/Hummus/Pork Bell Pepper,,,,Arugula Raspberry Blue Chees Nut Salad/Chips Salsa/Peanut Butter,Peppers,,0.0,4.0,2.5,1.5,1.0
131,2016-05-05 00:00:00,192.0,192.0,Apple/Orange,,,Veggies/Hummus/Chipotle Chicken Corn Chowder,,,,Arugula Spinach Salad/Peppers/Chicken/BBQ Sauce,,Peanut Butter,1.0,4.0,2.0,2.0,0.5
132,2016-05-06 00:00:00,191.0,192.0,Apple/Orange,,,Veggies/Hummus/Roasted Chicken BBQ Sauce,,,,Steak Salad Walnuts Blue Cheese,,,4.0,3.5,2.0,1.25,0.25
133,2016-05-07 00:00:00,191.0,192.0,Apple/Turkey,,Orange,Arugula Spinach Salad/Peppers,,,Chips Salsa,Sunset Salad,,,3.0,3.0,2.0,1.5,1.0
134,2016-05-08 00:00:00,190.0,193.0,,,Donut Bite/Potato Chips Guacamole/Fruit Smoothie,Pork/Rice/Salad,,Green Beans,Cake/Frosting/Strawberries,Chips/Salsa/Turkey,,,0.0,3.0,2.0,2.5,3.5
135,2016-05-09 00:00:00,192.0,193.0,Apple/Orange,,,Veggies/Ranch/Roasted Chicken BBQ Sauce,,,,Arugula Spinach Salad/Chips Salsa,,Peanut Butter,1.0,3.5,2.5,1.5,1.0
136,2016-05-10 00:00:00,191.0,193.0,Apple/Oatmeal/Brown Sugar/Nuts/Craisins,,,Veggies/Ranch/Roasted Chicken BBQ Sauce,,,,Lettuce/Pasta Meat Sauce,,Spinach Arugula Salad/Turkey/Chips Salsa,1.0,4.5,1.0,2.0,2.5
137,2016-05-11 00:00:00,191.0,189.0,Apple/Orange,,,Veggies/Ranch/Roasted Chicken BBQ Sauce,,,,Spring Mix Apple Cheese Burger Patty,Chips Salsa,,3.5,3.5,2.25,1.5,1.0
138,2016-05-12 00:00:00,189.0,190.0,Apple/Orange,,,Veggies/Ranch/Roasted Chicken BBQ Sauce,,,,Skirt Steak Salad/Battered Onions,,,2.0,3.5,2.0,1.5,0.25
139,2016-05-13 00:00:00,190.0,191.0,Apple/Orange,,,Broccoli/Green Beans/Red Peppers/Roasted Chicken BBQ Sauce,,,,Sausage Bun Onion Banana Pepper Sauerkraut,,,2.0,2.5,2.0,1.5,1.0
140,2016-05-14 00:00:00,189.0,189.0,Turkey/Chips Salsa,,,Southwest Chicken Salad,,,,Turkey/Carrots,,,2.5,2.0,0.5,0.5,1.0
141,2016-05-15 00:00:00,188.0,190.0,Donut Hole,,,Spinach Arugula Salad/Apple,,,,Carrots/Chips Salsa/Corned Beef,,Chips Salsa/Corned Beef,2.0,3.0,1.75,1.0,1.75
142,2016-05-16 00:00:00,189.0,191.0,Apple/Orange,,,,,,,Spinach Arugula Salad/Orange/Corned Beef,,Chips Salsa,0.0,4.0,3.0,1.5,1.25
143,2016-05-17 00:00:00,188.0,190.0,Apple/Orange,,,Veggies/Ranch/Roasted Chicken BBQ Sauce,,,,Potato Cheese Sour Cream Olives Ground Beef/Broccolini/Chips,,Corned Beef/Chips,2.0,3.0,2.0,2.0,2.0
144,2016-05-18 00:00:00,188.0,189.0,Apple/Orange,,,Veggies/Ranch/Roasted Chicken BBQ Sauce,,,,Spinach Arugula Salad/Orange/Chips Salsa,,,0.0,3.5,3.5,1.0,1.0
145,2016-05-19 00:00:00,187.0,189.0,Apple/Orange,,,Veggies/Ranch/Roasted Chicken BBQ Sauce,,,,Spinach Arugula Salad/Chips Salsa,,,2.0,3.5,2.25,1.0,1.0
